Q,A
햄스터는 지금 키워도 되지 않아?,아 그러고 싶은데 엄마가 털 달린 동물은 우리로 족하대
아 그러고 싶은데 엄마가 털 달린 동물은 우리로 족하대,아앗 머리 검은 짐승 2마리면 충분하구나!
아앗 머리 검은 짐승 2마리면 충분하구나!,맞아 엄마가 손사레 쳐 키키 이런
맞아 엄마가 손사레 쳐 키키 이런,그러면 한 번도 반려동물 키워본 적이 없는 거야?
그러면 한 번도 반려동물 키워본 적이 없는 거야?,음 그건 아닌데 많이 키워 봤어 다 분양 보냈지
음 그건 아닌데 많이 키워 봤어 다 분양 보냈지,무슨 종류의 동물을 키워 봤어?
무슨 종류의 동물을 키워 봤어?,병아리 고슴도치 새 강아지 물고기 뭐 이 정도?...
병아리 고슴도치 새 강아지 물고기 뭐 이 정도?...,은근 다양하게 키웠네 고슴도치는 언제 키웠었어?
은근 다양하게 키웠네 고슴도치는 언제 키웠었어?,"아빠가 산에서 잡아 왔어 우리 도치,"
"아빠가 산에서 잡아 왔어 우리 도치,",고슴도치가 야생에서도 사는 동물이야?
고슴도치가 야생에서도 사는 동물이야?,그러게 있더라고 근데 일주일 만에 다시 풀어 줬어
그러게 있더라고 근데 일주일 만에 다시 풀어 줬어,왜? 야생성이 너무 강해서 그랬어?
왜? 야생성이 너무 강해서 그랬어?,똥 냄새가 너무 나서 키키
똥 냄새가 너무 나서 키키,헐 고슴도치 똥 냄새가 그렇게 심해?
헐 고슴도치 똥 냄새가 그렇게 심해?,똥구린내 장난 아니야 키키
